amount,transactions_1m,transactions_5m,amount_5m,new_device,new_ip,is_fraud
803.8471628060337,0,0,1057.7166685304776,1,0,0
489.31207817688767,0,2,1471.181857757313,0,0,0
432.3544254595165,0,0,1572.4474162226031,0,0,0
559.0988712807225,0,3,1321.6061194236477,0,0,0
1221.2214943924853,13,28,5913.588604172549,0,1,1
3835.051121509777,0,2,8183.6004727751615,1,1,1
488.6410469227599,0,1,1160.7866192096044,0,0,0
630.7343376573178,2,5,1491.385718611514,1,1,1
1534.5958481240145,1,2,5369.383931163215,0,0,0
612.7381396999381,2,3,1834.3984208072247,1,0,0
1089.6141656052341,1,3,5058.093382512599,1,1,1
1993.1387149033712,8,26,13490.697607994749,0,1,1
1942.0594405465074,1,1,7194.142615280691,0,0,0
1471.9244313556853,1,2,3794.577207638095,0,1,0
1374.3474361523374,2,3,3466.197720813564,0,0,0
6355.910427859779,0,0,8147.895046308971,0,0,0
411.3014133218188,0,1,1570.8775093710465,0,0,0
848.6398643060116,0,2,1892.5427036939411,1,0,0
565.571867852045,1,2,628.6031724534707,0,0,0
160.97673306667414,0,0,413.38186680194724,1,0,0
281.18679683345914,0,0,362.42272490670996,0,0,0
1180.3771454681216,1,2,1697.490132550773,1,0,0
1556.5413443822652,0,0,4318.526193189224,0,1,0
695.2144052448087,0,0,2768.5745832627777,0,0,0
310.4491075979729,1,1,1135.641507085357,0,0,0
15795.307225294973,0,0,28378.436128558464,0,0,0
2556.0561726619558,11,29,17938.846226462436,0,1,1
6576.926817478264,0,0,8543.068150270039,0,0,0
249.630114733926,0,1,493.78026212057046,1,0,0
2470.070724248669,0,2,5212.300483664938,1,0,0
430.50231082756017,0,1,1057.4468868871531,1,0,0
207.29152059033308,0,0,521.1774080767789,0,0,0
272.06046833968253,0,0,356.75935322894424,0,1,0
588.2195150710565,0,0,2030.4536213838546,0,0,0
1061.1630071444365,6,15,9111.551251693598,0,1,1
551.3998498242267,0,2,2154.753891616633,0,0,0
791.862738305822,2,6,1191.1130982530985,1,0,1
1600.039614506606,14,21,15674.79832432737,1,0,1
1782.6985048880804,0,1,3886.1757877185432,1,0,1
3417.794751337309,0,2,11679.034460529108,0,0,0
2852.4403152682403,13,21,27219.733521698203,1,0,1
430.41384967802486,0,0,1625.000780670573,0,0,0
146.24592523838115,0,3,176.60428551187357,0,0,0
1743.5706978335968,9,22,8475.92491625482,0,1,1
5131.425973979395,0,0,10092.796223216448,0,0,0
1522.1289909070579,9,15,12305.183806788202,1,0,1
218.21483343440363,0,0,471.12324538990384,0,0,0
8197.108763337474,0,0,12427.576371868145,0,0,0
5000.0,0,1,5330.616196077888,0,0,0
739.5230754745509,1,4,1426.1704414558699,0,0,0
28206.213252035515,1,3,51743.852341492275,0,0,0
1133.5800948195995,13,26,7905.661174751382,1,1,1
790.6735771985982,0,0,842.1233167117666,0,0,0
680.7258844409764,14,33,2962.9424026615607,0,0,1
688.6612822205522,1,1,1930.287874976857,0,0,0
283.77914724178356,0,4,753.3908097464857,0,0,1
10578.014741486004,0,0,16803.846074552348,1,0,0
5315.436388101559,0,1,21267.340924198394,1,1,1
1149.04328599619,2,6,3479.8169992768344,1,1,1
586.8084851506695,0,1,1968.218430846117,0,0,0
204.0347610412294,0,1,704.4206955194838,1,0,0
1585.9566888052025,1,1,2429.3274264992438,0,0,0
812.0089853829743,0,0,2339.2092005205805,0,0,0
123.5381151202917,0,0,332.0383950293947,1,0,0
231.92044372749785,0,1,420.1823241167713,1,0,0
267.42822533671887,0,2,337.03080195505265,0,0,0
352.196189329131,0,2,1300.3139865481726,0,0,0
1444.4973087814788,0,1,1821.9178955787695,0,0,0
1289.263695977131,1,6,3638.0242378365447,1,0,1
2219.5259221670517,2,6,5906.173608872746,0,0,1
306.8087744137629,0,0,1011.8506195678603,0,0,0
156.71558118109962,0,2,549.4785164254964,0,0,0
327.70424135176535,1,4,348.44066583638914,1,0,1
5750.219614900207,1,2,9330.743544425715,0,0,0
1208.0109023408147,2,6,4655.419968348189,1,0,1
520.6049264856126,0,2,1248.5295462733197,0,1,1
1583.2805322602876,0,0,3589.7874416008663,1,1,0
1234.726960017104,1,4,3077.628771654466,0,0,0
539.4418137127453,0,3,1960.0615856409574,1,1,0
723.9632954311836,0,0,1285.499900483604,1,0,0
308.4963945729772,1,1,370.55706423027453,0,0,0
972.7937064725486,1,1,3607.003617369519,0,0,0
12386.485054278659,0,1,19942.088942098675,0,0,0
8100.819751794232,0,1,14596.61708560384,0,0,0
908.1740926928449,0,1,1547.5557465490404,0,1,0
1296.0805602026485,2,6,3499.986329030107,0,0,1
308.9017992467124,0,1,395.77563409254327,1,1,0
446.8234484677404,0,2,603.0764676017271,0,0,1
5000.0,0,0,8477.563915392997,0,0,0
1043.5661908090372,0,0,2245.441453482432,0,0,0
335.24043194256524,1,2,1154.5791715224573,0,0,0
368.0115989135549,0,4,705.9113618069656,0,0,1
613.4158410010955,0,2,1226.4641661568348,0,0,0
5391.378593695756,0,0,9365.307904984262,0,0,0
161.35947552611975,0,0,412.49140291503124,0,0,0
156.43212878591976,0,2,329.00470789366125,0,0,0
240.30814445892855,0,0,254.56922133926489,1,0,0
12631.645980319205,0,1,18179.49112314791,0,0,0
351.1094510201108,1,1,867.5724879544421,0,0,0
7242.057146542769,0,1,8017.9733154736,0,0,0
1136.805072838617,0,1,3314.7184891765232,0,0,0
9098.92901550321,1,1,15481.973210756445,0,0,0
5509.502608320109,1,2,8890.49429592877,0,0,0
607.745499053088,0,0,1162.692551714025,1,1,0
886.8698369774369,11,23,4116.932400881356,1,0,1
442.7243963959925,0,1,456.45692184341874,0,0,0
8770.806754971223,0,0,11767.295473592976,0,0,0
747.8099288071654,0,0,2061.732814591455,0,0,0
9505.56257829343,0,1,16714.56393854726,0,0,0
447.8267646788644,2,2,1596.352950980991,0,0,0
320.5175639503896,0,1,770.0762312908548,1,0,0
806.557739340675,0,0,1838.8597006984257,1,0,0
405.3108810477419,2,3,1209.29525241424,1,1,0
1597.3460783582677,0,2,4461.498832015553,1,1,0
563.4014272829079,0,4,963.4674652917885,1,0,1
718.254528800857,2,4,770.0597621345158,0,0,1
168.5368819191068,0,0,379.17640336401655,0,0,0
1613.8251974930768,9,28,8446.990550542565,1,0,1
5000.0,0,2,8821.510927232732,0,0,0
1595.9113655422846,0,4,4687.162403317814,1,0,1
610.5777222401797,0,2,1117.4948785987526,0,1,0
371.99387370240447,0,1,1431.45782277045,0,1,0
286.99133153772596,0,1,846.7816141580442,1,0,0
10976.169808830853,0,1,19285.67165156714,1,0,0
197.88174098395652,1,2,410.4664732582084,0,0,0
298.13459117542754,0,1,1177.2005668330937,0,0,0
350.8812285917282,0,0,705.9828209670823,0,0,0
21728.866760689452,0,7,99471.49783182863,1,1,1
664.8075917770848,0,0,754.9495990318215,1,0,0
116.10962620044559,0,0,302.2637541891025,0,0,0
268.99265670828765,0,1,507.0431414302646,0,0,0
1657.0929308328948,0,1,3370.946298377336,0,0,0
314.0204999189764,0,0,665.978826265873,0,0,0
3447.3171041077385,1,4,7390.236703463011,1,0,1
11911.523460391683,0,1,14477.882787827557,0,0,0
179.1916155208722,1,2,494.7291298443992,0,0,0
742.0190030969072,10,18,5875.533031006194,0,1,1
6082.731110241029,0,0,6691.996325674055,0,0,0
2777.174022119555,1,2,4699.107041222816,0,0,1
3016.6000642668705,7,26,17387.337094238457,1,0,1
1038.7215345730092,0,0,2041.2595465874203,1,1,0
1704.354467030532,1,2,1782.120281140025,0,0,0
1874.7382649429308,0,0,6892.135885688125,0,0,0
569.7200605577666,0,2,1666.3146099324463,0,0,0
1127.2581068509246,0,1,2570.3519507126157,0,0,0
276.0256884243391,0,0,375.08627022008903,0,0,0
280.2664207141452,11,18,870.540382259065,0,1,1
454.9209651532031,0,0,1547.7778173633326,0,0,0
191.13743463434525,0,2,655.7859619599668,0,0,0
1072.1762484720232,1,2,2725.8576064973345,1,1,0
709.9355680337155,8,17,3503.252469335194,0,0,1
1351.775494034087,6,25,10261.452758635307,0,0,1
290.2377707047763,0,0,488.80054626146597,0,0,0
236.6033564821972,0,4,516.4984568477715,0,0,0
3183.21525685438,1,2,10622.752553860182,1,0,1
1305.8809342548238,2,5,1756.1436613704216,0,0,1
438.8436229213255,0,0,1646.7782773577176,0,0,0
5734.093112734068,0,1,9785.170366647322,0,1,0
870.4721345455297,0,1,3339.1398417110163,0,0,0
456.38301415680206,0,1,628.4995645293624,0,0,0
756.6128607794716,3,6,2760.9374842780508,0,1,1
404.5941572537178,0,0,1148.3086718475727,1,0,0
2988.152927016629,3,6,8577.029714686096,1,0,1
5000.0,1,2,5685.970493345029,0,0,0
387.0892858054642,1,1,546.9212896711391,0,0,0
891.6674282240899,1,1,1548.7580567255138,0,0,0
618.73892820128,2,3,1135.5920621936261,1,1,0
147.0866473381798,0,1,286.52859906498986,0,0,0
121.00130184151986,1,2,167.79435354520686,0,0,0
451.7688674524468,0,1,1273.0013152151214,0,0,0
1213.1032889440528,3,5,3328.266078006077,1,1,1
418.4612988361808,0,0,1302.6850347779775,0,0,0
